Running 840 simulations (28 variants x 6 scenarios x 5 seeds), T=25 ...

Wrote /home/user/abm-paper-housing-voting/outputs/robustness_sweep.json

variant               vote0   gap0 |  dV_rent   dV_sup   dV_acc   dV_tra   dV_bun | checks
------------------------------------------------------------------------------------------
baseline              0.236 +0.133 |  -0.0024  -0.0044  -0.0007  -0.0158  -0.0264 | YYYYYY
downpay_0.25          0.235 +0.133 |  -0.0027  -0.0048  -0.0008  -0.0208  -0.0276 | YYYYYY
downpay_0.35          0.238 +0.137 |  -0.0027  -0.0036  -0.0020  -0.0163  -0.0230 | YYYYYY
buyprob_0.25          0.237 +0.132 |  -0.0021  -0.0051  -0.0015  -0.0189  -0.0269 | YYYYYY
buyprob_0.45          0.235 +0.137 |  -0.0014  -0.0039  -0.0012  -0.0174  -0.0265 | YYYYYY
rho_asp_0.85          0.238 +0.135 |  -0.0021  -0.0046  -0.0007  -0.0160  -0.0264 | YYYYYY
rho_asp_0.96          0.234 +0.129 |  -0.0028  -0.0045  -0.0006  -0.0155  -0.0264 | YYYYYY
returns_x0.75         0.236 +0.134 |  -0.0021  -0.0058  +0.0002  -0.0165  -0.0270 | YYYYYY
returns_x1.25         0.239 +0.138 |  -0.0046  -0.0075  -0.0031  -0.0190  -0.0291 | YYYYYY
housing_exp_x0.8      0.235 +0.133 |  -0.0022  -0.0058  +0.0005  -0.0122  -0.0239 | YYYYYY
housing_exp_x1.2      0.238 +0.137 |  -0.0017  -0.0062  -0.0018  -0.0228  -0.0308 | YYNYYY   <-- check
assort_1.6            0.237 +0.137 |  -0.0014  -0.0052  -0.0010  -0.0182  -0.0260 | YYYYYY
assort_2.6            0.236 +0.135 |  -0.0025  -0.0071  -0.0020  -0.0166  -0.0271 | YYYYYY
beqtax_0.15           0.238 +0.139 |  -0.0037  -0.0054  -0.0036  -0.0179  -0.0264 | YYYYYY
beqtax_0.30           0.237 +0.139 |  -0.0021  -0.0065  -0.0036  -0.0184  -0.0276 | YYNYYY   <-- check
leak_x0.5             0.236 +0.133 |  -0.0030  -0.0062  -0.0015  -0.0158  -0.0294 | YYYYYY
leak_x1.5             0.236 +0.133 |  -0.0008  -0.0054  -0.0002  -0.0158  -0.0223 | YYYYYY
gamma_x0.75           0.211 +0.093 |  -0.0015  -0.0029  -0.0004  -0.0110  -0.0184 | YYYYYY
gamma_x1.25           0.264 +0.178 |  -0.0029  -0.0065  -0.0007  -0.0217  -0.0360 | YYYYYY
split_asset_heavy     0.226 +0.115 |  -0.0024  -0.0049  -0.0008  -0.0104  -0.0209 | YYYYYY
split_access_heavy    0.245 +0.148 |  -0.0030  -0.0043  -0.0009  -0.0219  -0.0320 | YYYYYY
rent_ungated          0.240 +0.126 |  -0.0025  -0.0047  -0.0007  -0.0154  -0.0253 | YYYYYY
user_cost_0.04        0.236 +0.133 |  -0.0024  -0.0044  -0.0007  -0.0158  -0.0264 | YYYYYY
leverage_decr         0.232 +0.134 |  -0.0014  -0.0059  -0.0012  -0.0140  -0.0226 | YYYYYY
no_parental_help      0.244 +0.131 |  -0.0029  -0.0058  -0.0011  -0.0172  -0.0265 | YYYYYY
uniform_depth         0.234 +0.132 |  -0.0003  -0.0054  -0.0003  -0.0175  -0.0275 | YYYYYY
beta_n_0.3            0.224 +0.129 |  -0.0027  -0.0041  -0.0009  -0.0152  -0.0246 | YYYYYY
beta_n_0.9            0.250 +0.139 |  -0.0025  -0.0048  -0.0001  -0.0173  -0.0293 | YYYYYY
